config_id,folder,scenario,K,algo,total_budget,alpha,gamma,episode_keep,n_seeds,acc_mean,acc_std,fallback_rate,wall_time_total_sec,per_seed_csv
fusing_bump_K32_FSH_a0.500_g0.000_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p000_k0p500_impl0,fusing_bump,32,FSH,40000,0.5,0.0,0.5,10,0.2,0.42163702135578396,1.0,2.381847620010376,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p000_k0p500_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.500_g0.000_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p000_k1p000_impl0,fusing_bump,32,FSH,40000,0.5,0.0,1.0,10,0.2,0.42163702135578396,1.0,2.373530626296997,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p000_k1p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.500_g0.500_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p500_k0p000_impl0,fusing_bump,32,FSH,40000,0.5,0.5,0.0,10,0.7,0.48304589153964794,1.0,2.4494259357452393,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p500_k0p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.500_g0.500_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p500_k0p500_impl0,fusing_bump,32,FSH,40000,0.5,0.5,0.5,10,1.0,0.0,1.0,5.808229446411133,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p500_k0p500_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.500_g0.500_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p500_k1p000_impl0,fusing_bump,32,FSH,40000,0.5,0.5,1.0,10,1.0,0.0,1.0,8.178567171096802,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p500_k1p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.500_g1.000_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g1p000_k0p000_impl0,fusing_bump,32,FSH,40000,0.5,1.0,0.0,10,0.9,0.31622776601683794,1.0,2.5138795375823975,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g1p000_k0p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.500_g1.000_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g1p000_k0p500_impl0,fusing_bump,32,FSH,40000,0.5,1.0,0.5,10,1.0,0.0,1.0,7.869331121444702,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g1p000_k0p500_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.500_g1.000_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g1p000_k1p000_impl0,fusing_bump,32,FSH,40000,0.5,1.0,1.0,10,0.9,0.31622776601683794,1.0,8.546976327896118,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g1p000_k1p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a1.000_g0.000_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a1p000_g0p000_k0p000_impl0,fusing_bump,32,FSH,40000,1.0,0.0,0.0,10,0.5,0.5270462766947299,1.0,1.616076946258545,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a1p000_g0p000_k0p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a1.000_g0.000_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a1p000_g0p000_k0p500_impl0,fusing_bump,32,FSH,40000,1.0,0.0,0.5,10,1.0,0.0,1.0,6.189605951309204,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a1p000_g0p000_k0p500_impl0/per_seed.csv
