seed,env_seed,algo_seed,perm,best_arm,final_arm,correct,wall_time_sec,spent_budget,duels,rewards,rounds_executed,seed_md
529,12874,68419,"8,12,3,14,13,2,15,4,6,9,11,1,5,0,10,7",13,13,1,1.2245025634765625,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_529.md
530,12875,68420,"7,14,13,9,2,10,15,0,11,4,6,12,5,8,1,3",7,7,1,1.1595432758331299,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_530.md
531,12876,68421,"12,1,3,9,8,0,15,11,13,14,10,7,2,5,6,4",5,5,1,1.267068862915039,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_531.md
532,12877,68422,"11,9,12,10,8,7,13,4,0,14,3,2,15,1,6,5",8,8,1,1.1121530532836914,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_532.md
533,12878,68423,"2,14,1,10,5,11,13,12,7,0,4,8,6,15,9,3",9,9,1,1.0972354412078857,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_533.md
534,12879,68424,"2,7,6,4,14,15,9,13,3,0,5,10,12,1,8,11",9,9,1,1.2278478145599365,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_534.md
535,12880,68425,"5,9,1,6,2,3,11,8,10,15,14,4,0,13,12,7",12,12,1,1.1774377822875977,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_535.md
536,12881,68426,"8,6,14,7,10,12,5,3,4,11,9,1,13,2,15,0",15,15,1,1.2614622116088867,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_536.md
537,12882,68427,"12,9,14,11,8,2,0,1,13,7,6,3,10,15,4,5",6,6,1,1.2462656497955322,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_537.md
538,12883,68428,"5,10,2,15,8,11,3,14,7,13,9,1,4,12,6,0",15,15,1,1.229367971420288,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_538.md
539,12884,68429,"2,9,4,5,11,7,14,12,15,8,10,13,6,1,0,3",14,14,1,1.1632227897644043,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_539.md
540,12885,68430,"8,9,0,7,1,13,3,5,10,2,14,15,6,12,11,4",2,2,1,1.1570932865142822,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_540.md
541,12886,68431,"6,1,12,0,10,2,9,15,14,4,13,7,11,8,3,5",3,3,1,1.1407411098480225,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_541.md
542,12887,68432,"11,5,1,4,7,3,2,13,9,15,6,14,12,0,8,10",13,13,1,0.9821324348449707,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_542.md
543,12888,68433,"1,11,6,13,8,2,5,3,7,12,9,14,4,10,0,15",14,14,1,1.2121057510375977,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_543.md
544,12889,68434,"7,4,0,6,14,13,11,9,5,3,10,2,8,1,12,15",2,2,1,1.035215139389038,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_544.md
545,12890,68435,"12,14,5,8,0,7,1,9,3,6,13,15,10,11,2,4",4,4,1,1.3105800151824951,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_545.md
546,12891,68436,"15,11,2,0,9,10,6,12,13,1,5,14,4,3,8,7",3,3,1,1.1658875942230225,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_546.md
547,12892,68437,"12,13,2,11,6,0,14,15,3,1,7,8,4,5,10,9",5,5,1,1.167311429977417,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_547.md
548,12893,68438,"8,14,5,2,4,7,0,9,11,13,10,12,3,15,6,1",6,6,1,1.142540693283081,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_548.md
549,12894,68439,"9,8,15,3,1,7,6,10,14,12,0,11,2,5,4,13",10,10,1,1.1859886646270752,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_549.md
550,12895,68440,"13,4,15,3,10,1,8,6,2,11,12,14,7,9,5,0",15,15,1,1.2375996112823486,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_550.md
551,12896,68441,"5,7,4,13,0,15,1,6,12,11,2,10,9,3,8,14",4,4,1,1.259709358215332,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_551.md
552,12897,68442,"13,2,0,8,7,10,6,1,15,11,5,4,9,12,3,14",2,2,1,1.1478676795959473,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_552.md
553,12898,68443,"2,4,10,13,3,8,15,14,5,1,11,6,0,9,12,7",12,12,1,1.1375765800476074,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_553.md
554,12899,68444,"11,13,10,14,2,4,15,3,12,9,5,0,8,7,1,6",11,11,1,1.1908223628997803,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_554.md
555,12900,68445,"1,10,14,3,11,15,5,6,7,0,8,12,2,9,13,4",9,9,1,1.1512806415557861,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_555.md
556,12901,68446,"7,1,6,15,2,11,14,5,3,0,13,4,10,8,12,9",9,9,1,1.233466625213623,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_556.md
557,12902,68447,"7,6,8,10,15,14,11,3,13,5,2,4,0,9,12,1",12,12,1,1.2221040725708008,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_557.md
558,12903,68448,"7,1,15,2,0,12,10,13,11,14,6,3,8,4,9,5",4,4,1,1.1184134483337402,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_558.md
559,12904,68449,"7,6,0,8,15,1,2,11,9,3,5,4,14,12,13,10",2,2,1,1.3277668952941895,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_559.md
560,12905,68450,"5,9,14,1,15,4,8,11,10,13,2,6,3,12,0,7",14,14,1,1.255596399307251,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_560.md
561,12906,68451,"9,10,4,15,7,5,12,1,6,0,2,3,11,8,13,14",9,9,1,1.1333084106445312,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_561.md
562,12907,68452,"9,7,11,1,14,12,10,2,4,6,15,0,5,3,8,13",11,11,1,1.1565685272216797,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_562.md
563,12908,68453,"15,8,2,1,0,11,10,6,12,5,13,7,3,4,9,14",4,4,1,1.2272210121154785,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_563.md
564,12909,68454,"8,5,14,6,0,9,4,7,12,2,3,13,11,1,10,15",4,4,1,1.1904349327087402,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_564.md
565,12910,68455,"1,5,4,15,14,10,6,13,12,2,8,3,0,11,9,7",12,12,1,1.1069457530975342,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_565.md
566,12911,68456,"4,9,3,2,1,8,5,10,14,11,0,15,12,7,13,6",10,10,1,1.1963863372802734,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_566.md
